id,decade_start,births,deaths,natural_increase,net_migration,total_change,rate_natural_per_1k,rate_migration_per_1k,rate_total_per_1k
12,2080,104.928,25.582,79.346,-300.832,-221.486,0.24787544340020692,-0.9400117658068666,-0.6921363224066596
12,2090,105.765,19.551000000000002,86.214,-238.34199999999998,-152.128,0.2695432738872686,-0.7451445742894655,-0.4756013004021969
12,2100,10.279,1.741,8.538,-19.286,-10.748000000000001,0.26868204846743454,-0.6069105161329283,-0.33822846766549386
16,1950,0.544,0.6880000000000001,-0.14400000000000002,-5.606,-5.75,-1.5270498880233563,-58.86398561579479,-60.39103550381814
16,1960,0.6789999999999999,0.469,0.21,-1.0170000000000001,-0.807,1.8449118976653853,-9.504617759169182,-7.659705861503797
16,1970,0.6910000000000001,0.294,0.397,-3.487,-3.09,2.8147298360699393,-24.798923496275144,-21.984193660205207
16,1980,0.862,0.22699999999999998,0.635,2.776,3.411,3.4142960639839908,15.260566080288779,18.674862144272772
16,1990,1.163,0.257,0.906,-4.484,-3.578,3.644947510787494,-17.917318582287056,-14.27237107149956
16,2000,1.072,0.198,0.874,-13.844,-12.969999999999999,3.1590604954397756,-50.03894092481586,-46.87988042937609
16,2010,1.0050000000000001,0.11699999999999999,0.8880000000000001,-13.1,-12.212,3.3937344923915864,-50.237051920631984,-46.8433174282404
16,2020,0.806,0.073,0.733,-10.172,-9.439,3.1824258216079677,-44.03572104898559,-40.85329522737762
16,2030,0.6789999999999999,0.047,0.632,-5.733,-5.101,3.0598985700667773,-27.7181700682054,-24.658271498138625
16,2040,0.418,0.035,0.383,-3.123,-2.74,1.9666425580359594,-16.00957321733027,-14.04293065929431
16,2050,0.41000000000000003,0.023,0.387,-1.732,-1.345,2.07675488149179,-9.275369336058374,-7.1986144545665836
16,2060,0.394,0.015,0.379,-1.035,-0.656,2.1339272557697764,-5.819364439793018,-3.685437184023242
16,2070,0.28400000000000003,0.01,0.274,-0.593,-0.319,1.5875181789300237,-3.434751841540282,-1.8472336626102581
16,2080,0.228,0.01,0.218,-0.304,-0.08600000000000001,1.278390500895952,-1.781050037676606,-0.5026595367806543
16,2090,0.188,0.01,0.178,-0.13,0.047999999999999994,1.067737398353255,-0.7786397673052107,0.2890976310480443
16,2100,0.015,0.001,0.013999999999999999,-0.01,0.003999999999999998,0.8607439286812172,-0.6148170919151552,0.24592683676606197
20,1950,0.018000000000000002,0.044,-0.026000000000000002,2.722,2.6959999999999997,-0.8061857458009104,71.22737372309244,70.42118797729154
20,1960,0.047,0.062,-0.015,8.118,8.103,-0.26252075132054775,124.7851658696605,124.52264511833994
20,1970,0.223,0.083,0.14,12.157,12.297,1.0659997979361033,99.76917774775013,100.83517754568624
20,1980,0.241,0.069,0.17200000000000001,11.863,12.035,0.8810821156847215,60.032748793016346,60.91383090870106
20,1990,0.186,0.069,0.117,10.430000000000001,10.546999999999999,0.4056444671418193,39.486125508457704,39.89176997559953
20,2000,0.149,0.051000000000000004,0.098,14.59,14.688,0.27434927619734106,40.964032139483464,41.238381415680806
20,2010,0.098,0.04,0.057999999999999996,-8.847,-8.789,0.15619221978187992,-22.998894479041684,-22.842702259259806
20,2020,0.065,0.03,0.035,8.147,8.182,0.08702879202265676,20.517365010682074,20.604393802704728
20,2030,0.062,0.026000000000000002,0.036000000000000004,1.203,1.239,0.08522779589736705,2.8508104711136815,2.9360382670110488
20,2040,0.057,0.018000000000000002,0.039,0.509,0.548,0.09358880545189686,1.2230379029511564,1.3166267084030534
20,2050,0.06,0.01,0.05,0.271,0.321,0.1265343175909492,0.6705281547037237,0.797062472294673
20,2060,0.051000000000000004,0.01,0.041,0.251,0.292,0.11371993347273004,0.7186663448479063,0.8323862783206366
20,2070,0.04,0.01,0.03,0.817,0.847,0.09367582936408128,2.524938800250374,2.6186146296144552
20,2080,0.04,0.001,0.039,0.481,0.52,0.13699271237535554,1.6876903994919772,1.8246831118673328
20,2090,0.04,0.0,0.04,0.125,0.165,0.15795013286144788,0.4828809394178258,0.6408310722792737
20,2100,0.004,0.0,0.004,0.005,0.009000000000000001,0.16876212977807778,0.21095266222259723,0.3797147920006751
24,1950,195.359,735.2909999999999,-539.932,-362.648,-902.58,-22.235116725529416,-14.941627186738577,-37.176743912267995
24,1960,227.85299999999998,825.85,-597.9970000000001,-778.827,-1376.824,-22.227669987849865,-28.834117239666746,-51.061787227516604
24,1970,341.528,841.472,-499.944,410.48,-89.46400000000001,-15.198698565377768,11.697551095320133,-3.501147470057634
24,1980,614.538,1111.712,-497.17400000000004,711.656,214.48199999999997,-10.361503188873126,14.95533101038502,4.593827821511895
24,1990,990.008,1415.6970000000001,-425.689,604.7429999999999,179.054,-6.3235801981232145,8.790011858960954,2.4664316608377392
24,2000,1530.649,1407.528,123.121,892.415,1015.5360000000001,0.9621917548906722,9.188716298290917,10.15090805318159
24,2010,2090.935,1051.391,1039.5439999999999,955.006,1994.55,7.314238674721411,7.062937297260331,14.377175971981742
24,2020,2825.127,884.525,1940.602,18.276000000000003,1958.878,9.93158120044796,0.12051614810880432,10.052097348556764
24,2030,3335.772,862.297,2473.475,50.87,2524.345,9.609364154525327,0.1887874545608627,9.798151609086188
24,2040,3443.797,819.344,2624.453,128.947,2753.4,7.942749384920799,0.37995374779394797,8.322703132714746
